Cím; Szerző; Oldalszám; Kiadó
A Gyűrűk Ura;J.R.R. Tolkien;1178;Európa Könyvkiadó
Harry Potter és a Bölcsek Köve;J.K. Rowling;332;Animus Kiadó
1984;George Orwell;328;Európa Könyvkiadó
Állatfarm;George Orwell;112;Európa Könyvkiadó
A Gyűrűk Ura - A két torony;J.R.R. Tolkien;352;Európa Könyvkiadó
A Gyűrűk Ura - A király visszatér;J.R.R. Tolkien;416;Európa Könyvkiadó
Harry Potter és a Titkok Kamrája;J.K. Rowling;352;Animus Kiadó
Harry Potter és az Azkabani Fogoly;J.K. Rowling;448;Animus Kiadó
Harry Potter és a Tűz Serlege;J.K. Rowling;636;Animus Kiadó
A hobbit;J.R.R. Tolkien;310;Európa Könyvkiadó
Száz év magány;Gabriel García Márquez;432;Magvető Könyvkiadó
A Szélben az árnyék;Stephen King;1232;Alexandra Kiadó
Az;Stephen King;1153;Alexandra Kiadó
A ragyogás;Stephen King;447;Alexandra Kiadó
A sötétség;Stephen King;512;Alexandra Kiadó
A Vörös és a Fekete;Stendhal;672;Európa Könyvkiadó
Háború és béke;Lev Tolsztoj;1225;Európa Könyvkiadó
Anna Karenina;Lev Tolsztoj;864;Európa Könyvkiadó
A három testőr;Alexandre Dumas;704;Európa Könyvkiadó
A gróf Monte Cristo;Alexandre Dumas;1248;Európa Könyvkiadó
A kis herceg;Antoine de Saint-Exupéry;96;Európa Könyvkiadó
A dűne;Frank Herbert;688;Agave Könyvek
A dűne messiása;Frank Herbert;256;Agave Könyvek
A dűne gyermekei;Frank Herbert;512;Agave Könyvek
Alapítvány;Isaac Asimov;255;Agave Könyvek
Alapítvány és Birodalom;Isaac Asimov;240;Agave Könyvek
Második Alapítvány;Isaac Asimov;256;Agave Könyvek
A galaxis útikalauz stopposoknak;Douglas Adams;208;Agave Könyvek
Végállomás föld;Douglas Adams;192;Agave Könyvek
